address,age,bedroom,date,facilities,floor,func,latitude,longitude,meterage,parking,price,price_per_meter,properties,title,type,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.779984323552,51.3709891611798,"9, 7",1,13.7 میلیارد,,مسکونی,فروش آپارتمان/2 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,9,2,,,,آپارتمان/برج,35.7788521480264,51.3714273827341,"1, 0, 5",1,14 میلیارد,133 میلیون,مسکونی,105 متر آپارتمان 2 خواب // سعادت آباد مروارید بالای میدان کاج,مسکونی,,,
تهران ، منطقه 2 ، فراز," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.8058505958551,51.3628771362283,"1, 3, 8",1,18.2 میلیارد,,مسکونی,فروش آپارتمان/برج 2 خوابه در فراز - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,7,3,,,,آپارتمان/برج,35.7792587564874,51.3676693972468,"1, 5, 0",1,24 میلیارد,,مسکونی,فروش آپارتمان/ 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، فراز," , س, ا, ل, ه",3,,,,آپارتمان/برج,35.7960156883109,51.3825861494818,"1, 5, 1",1,23 میلیارد,,مسکونی,فروش آپارتمان/برج 3 خوابه در فراز - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.7825632100245,51.3750959766126,"1, 0, 5",1,13.5 میلیارد,,مسکونی,فروش آپارتمان/برج 2 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",4,,,,آپارتمان/برج,35.78905464534,51.3769298845549,"1, 6, 8",1,23 میلیارد,,مسکونی,فروش آپارتمان/برج 4 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 2",3,,,,آپارتمان/برج,35.7801550214038,51.3794508154092,"2, 3, 6",3,52 میلیارد,,مسکونی,فروش آپارتمان/برج 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 4",3,,,,آپارتمان/برج,35.7795511376489,51.3766587877782,"1, 5, 5",2,25 میلیارد,,مسکونی,فروش آپارتمان/برج 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 10 ، سلسبیل شمالی,"1, 5",1,,,,آپارتمان/برج,35.6944233420346,51.369912744823,"5, 0",1,3 میلیارد,60 میلیون,مسکونی,50 متر تک خواب  سلسبیل ,مسکونی,,,
تهران ، منطقه 10 ، سلسبیل شمالی," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.699488321212,51.3769752686639,"4, 0"," , پ, ا, ر, ک, ی, ن, گ",2.5 میلیارد,,مسکونی,40 متر   یک خواب  فول  بازسازی خوش نقشه ,مسکونی,,,
تهران ، منطقه 10 ، سلسبیل شمالی," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.6942416488253,51.3766350568582,"4, 5"," , پ, ا, ر, ک, ی, ن, گ",2.5 میلیارد,,مسکونی,45 متر  یک خواب  فول بازسازی ,مسکونی,,,
تهران ، منطقه 2 ، شهرک غرب,9,3,,,,آپارتمان/برج,35.7708804095173,51.3803826303681,"1, 3, 3",1,18.5 میلیارد,,مسکونی,فروش آپارتمان/3 خوابه در شهرک غرب - منطقه 2 ,مسکونی,,,
تهران ، منطقه 10 ، کارون شمالی," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.6917749142368,51.3663390564732,"5, 1"," , پ, ا, ر, ک, ی, ن, گ",2.5 میلیارد,,مسکونی,51 متر یک خواب  کارون بهنود  زیر قیمت منطقه ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",3,,,,آپارتمان/برج,35.7779507868561,51.3682677903855,"2, 0, 0",1,53 میلیارد,,مسکونی,فروش آپارتمان/برج 3 خوابه در سعادت اباد - منطقه 2 ,مسکونی,,,
تهران ، منطقه 10 ، سلسبیل شمالی," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.7004097015979,51.3761693582803,"6, 3"," , پ, ا, ر, ک, ی, ن, گ",3.4 میلیارد,,مسکونی,63 متر دو خواب  الماس منطقه ,مسکونی,,,
تهران ، منطقه 10 ، سلسبیل,"1, 2",1,,,,آپارتمان/برج,35.6950161330133,51.3727140426636,"5, 5",1,3 میلیارد,,مسکونی,50 متر یک خواب  خوش نقشه  غرق نور ,مسکونی,,,
تهران ، منطقه 10 ، کارون شمالی," , س, ا, ل, ه",1,,,,آپارتمان/برج,35.6943008344375,51.3640644510101,"5, 0"," , پ, ا, ر, ک, ی, ن, گ",2.6 میلیارد,,مسکونی,"50متر یک خواب,  الماس منطقه 10 ,شاهکار معماری ",مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 7",2,,,,آپارتمان/برج,35.7813984741168,51.3907722611536,"9, 2",1,14.7 میلیارد,160 میلیون,مسکونی,فروش آپارتمان 92 متری 2 خوابه در سعادت اباد,مسکونی,,,
تهران ، منطقه 10 ، امام خمینی - جیحون," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.6871738174484,51.3644313812256,"5, 3"," , پ, ا, ر, ک, ی, ن, گ",2.9 میلیارد,,مسکونی,53 متر دو خواب  فول بازسازی  ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.7823320562308,51.373073018763,"1, 1, 7",1,21.1 میلیارد,180 میلیون,مسکونی,فروش آپارتمان 117 متری 2 خواب در سعادت اباد ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,2,2,,,,آپارتمان/برج,35.7840925106035,51.3721139212654,"1, 2, 5",1,31.3 میلیارد,250 میلیون,مسکونی,فروش آپارتمان 125 متری 2 خوابه در سعادت اباد ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.7808342703331,51.3774145100255,"1, 0, 4",1,24.5 میلیارد,235.5 میلیون,مسکونی,فروش آپارتمان 104 متری 2 خواب در سعادت اباد ,مسکونی,,,
تهران ، منطقه 10 ، سلسبیل جنوبی,"2, 2",2,,,,آپارتمان/برج,35.6893793094198,51.3792862909115,"6, 7",1,3.5 میلیارد,,مسکونی,"67 متر دو خواب  ,تاپ لوکیشن ,فرصتی بی نظیر ",مسکونی,,,
تهران ، منطقه 10 ، سلسبیل شمالی,"1, 8",1,,,,آپارتمان/برج,35.699891174451,51.3691685420112,"4, 5",0,2.6 میلیارد,,مسکونی,فروش اپارتمان 45خوش نقشه بدون مشابه,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,2,2,,,,آپارتمان/برج,35.7857968929171,51.3690148424783,"1, 2, 0",1,27.6 میلیارد,230 میلیون,مسکونی,فروش آپارتمان 120 متری 2 خوابه در سعادت اباد ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.7839690464742,51.383888029474,"9, 3",1,21.4 میلیارد,230 میلیون,مسکونی,فروش آپارتمان 93 متری 2 خوابه در سعادت اباد ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.7783747689533,51.3705901767389,"1, 3, 7",2,31.5 میلیارد,230 میلیون,مسکونی,فروش آپارتمان 137 متری 2 خوابه در سعادت اباد ,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد,"1, 1",2,,,,آپارتمان/برج,35.7843358826805,51.3768183464102,"1, 1, 7",1,25.7 میلیارد,220 میلیون,مسکونی,فروش آپارتمان 117 متری 2 خواب در سعادت آباد,مسکونی,,,
تهران ، منطقه 2 ، سعادت اباد," , س, ا, ل, ه",2,,,,آپارتمان/برج,35.791383904743,51.3873286915348,"1, 1, 5",1,20.7 میلیارد,180 میلیون,مسکونی,فروش آپارتمان 115 متری 2 خوابه در سعادت اباد - علامه جنوبی,مسکونی,,,
